"MonthsSinceJan312000",AvgPrice
0,128877.02740763200
1,129477.76093933200
2,130017.606081028
3,131112.55657332900
4,132206.0847320620
5,133489.7862955620
6,134805.07450510300
7,135952.42902172500
8,136876.6196409150
9,137783.34007215800
10,138961.26146496100
11,140288.22885422100
12,141675.01269408600
13,142906.54901449600
14,144161.7388244600
15,145390.71292767500
16,146667.7147474230
17,147897.42338393600
18,149117.58041068400
19,150453.28489970100
20,151873.9767637070
21,153351.50920411400
22,154796.21589349800
23,156138.69118032000
24,157589.25480324900
25,158840.05938421400
26,159972.5766137860
27,160997.93349679400
28,162177.39134046500
29,163528.92589549200
30,164916.230971571
31,166433.58984997700
32,168008.97741909600
33,169565.9561555430
34,171126.5725203930
35,172727.6173099480
36,174486.12685985300
37,176273.61538061900
38,178317.74266131600
39,180133.38466348200
40,182043.01924885200
41,184147.3268988200
42,186478.59348723200
43,188946.95042375500
44,191104.45729829000
45,193245.63788975600
46,195061.70619803600
47,196792.7051471380
48,198554.68893852600
49,200295.90123933600
50,201957.56123739900
51,203622.65532831100
52,205597.10446414600
53,207937.7751969040
54,210530.91836021400
55,213127.17427154700
56,215927.49096989900
57,218723.11684360100
58,221583.78931910200
59,224253.0032886820
60,227006.4212533060
61,229756.90891441600
62,232523.40101101800
63,235322.26257224200
64,238199.60604516900
65,240991.5070378990
66,243717.93320431200
67,246577.14220665400
68,249413.46209347800
69,252511.6643398580
70,255437.53989171300
71,258525.71227315000
72,261345.39961534000
73,263805.6890056480
74,265655.58752804900
75,267088.2573345420
76,268544.9224000680
77,269952.8014776130
78,271015.2889872640
79,271534.02027750200
80,271690.7462475480
81,271595.3005879160
82,271487.3006877750
83,271603.33334546900
84,271572.13724610700
85,271571.58103468300
86,271794.399722238
87,272209.68318866500
88,272776.38647939000
89,272797.9278102590
90,272643.4577554780
91,272452.89149754000
92,272481.5377574400
93,272885.2372999650
94,273229.72949698600
95,273343.10042110200
96,273380.548537802
97,273270.142070373
98,273120.5415190070
99,272817.569859047
100,272239.17801182900
101,271402.7170634900
102,270290.010000852
103,269333.6450212410
104,268337.432616201
105,267092.1460052080
106,265351.681790105
107,263102.4060273410
108,259974.82996645200
109,256778.6778583760
110,253937.2330697150
111,251615.26674280700
112,249879.645707135
113,248039.3112374580
114,246354.60193299900
115,244235.5340181140
116,242566.2615333740
117,241634.90691769500
118,241197.21430932800
119,240602.8883754700
120,240377.7357929540
121,240649.48958762500
122,240965.86976569900
123,241241.65634155800
124,241249.81970274700
125,241910.16009561600
126,242568.35391614400
127,243186.3357647880
128,243353.51943592300
129,243072.51797508100
130,242050.19005447700
131,240836.79179230600
132,239442.0815178750
133,238580.52195997300
134,238414.27411858300
135,238404.82680633500
136,238064.54845036600
137,237182.61835393500
138,236402.92301181300
139,235974.44322834600
140,235669.36229703700
141,235064.72904824000
142,234452.01158399000
143,234172.55748397700
144,234173.60146140800
145,234173.44950735900
146,234087.2160510020
147,234157.27769844600
148,234415.4665910920
149,234736.98311983500
150,235339.18490028100
151,235692.12543983200
152,235887.32019463200
153,236142.7943312040
154,236877.18781822700
155,237631.20830894300
156,238995.72380977200
157,240407.05859719200
158,241245.5561909850
159,241179.40432685700
160,240781.68740506900
161,241752.95180062400
162,242923.54633883300
163,244603.39648783400
164,246897.28236121400
165,250398.8987466550
166,253595.60278384700
167,255210.36188870500
168,256071.4819225750
169,257435.6141352140
170,260036.32691159100
171,262311.89863468900
172,264422.8421160140
173,265009.882955378
174,265376.5827824430
175,265374.45860386100
176,266097.65285810200
177,267862.4547411540
178,269998.1974920380
179,271588.38743152300
180,271407.8520002350
181,270536.08122009200
182,270240.6339887600
183,270987.96727859500
184,272233.02949459100
185,272979.542089395
186,273663.3354210590
187,275697.12360965200
188,278899.0655565440
189,282804.6447934350
190,285293.4733045860
191,288150.0532318630
192,289058.9168669110
193,288863.7849159090
194,287170.7607222660
195,286704.77940574500
196,287596.9348756930
197,289377.891297746
198,290746.2526511090
199,291885.0313164020
200,292853.6850116980
201,293689.1043753140
202,295382.21336087600
203,298145.93301981300
204,300985.20315822500
205,303757.1748393150
206,305499.4403631900
207,308156.9972137850
208,310335.32284694400
209,312806.7120410330
210,315359.60400850300
211,318137.032885911
212,320211.67439986600
213,321363.51596991200
214,320997.98532672700
215,321062.2095656820
216,321870.72392114100
217,324109.79867543600
218,326697.11372906100
219,329461.1619730650
220,332264.4805223420
221,334163.18910212600
222,335658.19564346100
223,336558.0541813330
224,337311.09286864900
225,337126.35587727600
226,337214.28346292600
227,336980.40988924600
228,338555.5878522680
229,340562.5850336100
230,343702.6748512200
231,346228.853482354
232,348256.69295445000
233,349675.7030002100
234,350335.16454467900
235,349667.70120322200
236,348018.8575239530
237,346200.28338250500
238,345888.4567529840
239,346520.3646408070
240,348444.2273634590
241,350164.1309789560
242,351759.02910705400
243,352265.55948353000
244,352352.8499375270
245,351740.30766247100
246,349885.6272102080
247,346662.37857928700
248,343209.03538147700
249,340663.02038936000
250,339725.86937557700
251,340244.82749202500
252,341338.6815345130
253,342835.21163246400
254,344588.85962287400
255,346375.84344464300
256,348572.24025863800
257,350379.47129924100
258,352541.2636890020
259,354617.32754005300
260,356781.66312349600
261,359727.90785191100
262,363106.5105454680
263,366338.4893293650
264,367970.001901387
265,368928.27355763200
266,369729.67998775300
267,371239.67032278100
268,372484.5147734630
269,374965.83952902400
270,376580.5360117250
271,377318.23627241600
272,375567.2396546360
273,373510.7545518080
274,372254.35320123000
275,371935.81124802900
276,373179.855936015
277,373912.18001604300
278,374701.8036805670
279,375107.8019875820
280,375630.49338260300
281,376574.45673320500
282,377389.41044349600
283,378265.4952587490
284,378664.59534009900
285,378494.188876582
286,377987.77339752800
287,377431.55023131900
288,377715.93066457300
289,378418.96867352400
290,380851.15665726100
291,383273.2873242950
292,385730.83182886500
293,386907.1824678450
294,388305.0941879910
295,389950.61737118800
296,391449.50750493800
297,392748.26022522500
298,394087.63482844400
299,395666.11018496400
300,396322.97739348900
